ActionGeo_ADM1Code,ActionGeo_CountryCode,ActionGeo_FeatureID,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,Actor1Code,Actor1CountryCode,Actor1EthnicCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_CountryCode,Actor1Geo_FullName,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_Type,Actor1KnownGroupCode,Actor1Name,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2CountryCode,Actor2EthnicCode,Actor2Geo_ADM1Code,Actor2Geo_CountryCode,Actor2Geo_FeatureID,Actor2Geo_FullName,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_Type,Actor2KnownGroupCode,Actor2Name,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,AvgTone,DATEADDED,EventBaseCode,EventCode,EventRootCode,FractionDate,GLOBALEVENTID,GoldsteinScale,IsRootEvent,MonthYear,NumArticles,NumMentions,NumSources,QuadClass,SOURCEURL,SQLDATE,Year,index
ID32,ID,-2698117,"South Sumatra, Sumatera Selatan, Indonesia",-2.75,103.833,5,COP,,,ID32,-2.75,ID,"South Sumatra, Sumatera Selatan, Indonesia",103.833,-2698117,5,,POLICE,,,COP,,,IDN,IDN,,ID32,ID,-2698117,"South Sumatra, Sumatera Selatan, Indonesia",-2.75,103.833,5,,INDONESIA,,,,,,-6.088992974,20181025,182,182,18,2018.8055,797356622,-9.5,1,201810,2,2,1,4,https://www.msn.com/en-sg/news/world/entire-family-killed-with-gunshot-wounds-to-the-head-in-indonesia-father-suspected-of-murder-suicide/ar-BBORBT1,20181024,2018,35
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,JAKARTA,,,,,,-5.409356725,20181024,180,180,18,2018.8055,797105618,-9,1,201810,13,13,2,4,http://www.thejakartapost.com/news/2018/10/24/man-suspected-of-sexually-assaulting-girls-at-mosque-arrested.html,20181024,2018,43
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDNGOV,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,INDONESIAN,,,GOV,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIAN,,,,,,-3.885003885,20181023,12,12,1,2018.8027,796744591,-0.4,1,201810,6,6,2,1,https://www.sbs.com.au/news/saudi-minister-says-journalist-khashoggi-style-murder-can-never-happen-again,20181023,2018,52
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDN,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,INDONESIAN,,,,,,IDNMED,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,MED,,,-1.214750542,20181022,141,141,14,2018.8,796599895,-6.5,0,201810,1,1,1,3,http://www.msn.com/en-us/news/world/how-the-man-behind-khashoggi-murder-ran-the-killing-via-skype/ar-BBOJPqi,20181022,2018,145
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,SURABAYA,,,,,,-6.703910615,20181021,173,173,17,2018.7781,796296084,-5,1,201810,10,10,1,4,https://www.emirates247.com/crime/world/instagram-baby-selling-bust-prompts-call-for-cyber-patrols-2018-10-21-1.674543,20181014,2018,156
ID,ID,ID,Indonesia,-5,120,1,GOV,,,ID,-5,ID,Indonesia,120,ID,1,,GOVERNMENT OFFICIAL,,,GOV,,,IDN,IDN,,ID,ID,ID,Indonesia,-5,120,1,,INDONESIA,,,,,,-8.823529412,20181017,173,173,17,2018.7863,795374549,-5,1,201810,5,5,1,4,https://blogs.wsj.com/riskandcompliance/2018/10/17/corruption-currents-indonesia-arrests-nine-in-probe-of-real-estate-project/?guid=BL-252B-15843&dsk=y,20181017,2018,282
ID30,ID,-2672646,"Bekasi, Jawa Barat, Indonesia",-6.2349,106.99,4,GOV,,,ID30,-6.2349,ID,"Bekasi, Jawa Barat, Indonesia",106.99,-2672646,4,,PREMIER,,,GOV,,,IDN,IDN,,ID30,ID,-2672646,"Bekasi, Jawa Barat, Indonesia",-6.2349,106.99,4,,INDONESIA,,,,,,-7.47686471,20181016,173,173,17,2018.7836,794936720,-5,0,201810,16,16,4,4,https://www.reuters.com/article/indonesia-corruption-lippo/indonesia-arrests-9-in-bribery-probe-linked-to-21-bln-lippo-group-project-idUSL3N1WW37U,20181016,2018,291
ID30,ID,9116229,"Cikarang, Jawa Barat, Indonesia",-6.4063,106.496,4,GOV,,,ID30,-6.4063,ID,"Cikarang, Jawa Barat, Indonesia",106.496,9116229,4,,PREMIER,,,GOV,,,IDN,IDN,,ID30,ID,9116229,"Cikarang, Jawa Barat, Indonesia",-6.4063,106.496,4,,INDONESIA,,,,,,-7.076240602,20181016,173,173,17,2018.7836,794950174,-5,0,201810,12,12,3,4,https://www.reuters.com/article/us-indonesia-corruption-lippo/indonesia-arrests-nine-in-bribery-probe-linked-to-21-billion-lippo-group-project-idUSKCN1MQ1MJ,20181016,2018,295
ID30,ID,-2672646,"Bekasi, Jawa Barat, Indonesia",-6.2349,106.99,4,IDN,IDN,,ID30,-6.2349,ID,"Bekasi, Jawa Barat, Indonesia",106.99,-2672646,4,,INDONESIA,,,,,,IDNGOV,IDN,,ID30,ID,-2672646,"Bekasi, Jawa Barat, Indonesia",-6.2349,106.99,4,,INDONESIA,,,GOV,,,-4.232804233,20181016,186,186,18,2018.7836,794977472,-10,1,201810,3,3,1,4,https://www.straitstimes.com/asia/se-asia/90k-worth-of-singaporean-currency-seized-in-indonesias-latest-corruption-raid,20181016,2018,297
ID24,ID,-2698116,"West Sumatra, Sumatera Barat, Indonesia",-1,100.5,5,MED,,,ID24,-1,ID,"West Sumatra, Sumatera Barat, Indonesia",100.5,-2698116,5,,SPOKESMAN,,,MED,,,IDN,IDN,,ID24,ID,-2698116,"West Sumatra, Sumatera Barat, Indonesia",-1,100.5,5,,INDONESIA,,,,,,-8.938867651,20181013,73,73,7,2018.7753,794284067,7.4,1,201810,126,126,115,2,https://www.registercitizen.com/news/crime/article/Floods-landslides-kill-11-children-in-Indonesia-13304366.php,20181013,2018,304
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-1.418439716,20181009,40,40,4,2018.7644,793135420,1,0,201810,4,4,1,1,http://en.tempo.co/read/news/2018/10/09/055922351/Prabowo-Team-Deems-Amien-Rais-Summon-as-Criminalization-Attempt,20181009,2018,308
ID,ID,ID,Indonesia,-5,120,1,AFG,AFG,,ID,-5,ID,Indonesia,120,ID,1,,AFGHANISTAN,,,,,,IDN,IDN,,ID,ID,ID,Indonesia,-5,120,1,,INDONESIAN,,,,,,1.10701107,20181006,43,43,4,2018.7562,792605342,2.8,0,201810,2,2,1,1,https://thefrontierpost.com/indonesia-asks-taliban-to-renounce-violence-choose-talks/,20181006,2018,685
